Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building
RBU65356,Vossem,3080,2150.00,House,House,Rent,5,259 ,1,,True,23 m²,330 m²,3,,
RBU65332,Asse,1730,339000.00,House,House,Sale,2,156 ,,False,,16 m²,53 m²,2,False,Normal
VBD49048,Tervuren,3080,1295000.00,House,House,Sale,5,,1,False,,True,True,4,False,Normal
RBU65264,Londerzeel,1840,695000.00,House,House,Sale,4,236 ,,False,,20 m²,1100 m²,4,,Normal
RBU65258,Groot-Bijgaarden,1702,285000.00,House,House,Sale,3,127 ,1,,,True,,2,,To renovate
RBU65251,Leuven,3000,655000.00,House,House,Sale,3,160 ,,False,,26 m²,True,,,New
RBU65250,Leuven,3000,672000.00,House,House,Sale,4,175 ,,False,,20 m²,True,,,New
RBU65249,Leuven,3000,625000.00,House,House,Sale,3,150 ,,False,,27 m²,True,,,New
RBU65248,Leuven,3000,625000.00,House,House,Sale,3,165 ,,False,,19 m²,True,,,New
RBU65247,Leuven,3000,672000.00,House,House,Sale,4,170 ,,False,,20 m²,True,,,New
RBU65246,Leuven,3000,665000.00,House,House,Sale,4,175 ,,False,,22 m²,True,,,New
RBU65245,Oud-Heverlee,3050,735000.00,House,House,Sale,4,251 ,,False,,False,True,3,,New
RBU65244,Oud-Heverlee,3050,785000.00,House,House,Sale,4,271 ,,False,,False,True,3,,
VBD48925,Tervuren,3080,1100.00,Appartment,Flat,Rent,1,75 ,,False,,11 m²,False,,,
RBU65243,Kessel-Lo,3010,845000.00,House,Villa,Sale,4,233 ,,False,,True,True,,True,Normal
RBU65242,Leuven,3000,395000.00,House,House,Sale,2,98 ,,False,,False,True,,,
VBD48873,Hever,3191,1850.00,House,House,Rent,3,178 ,,False,,False,True,2,,Excellent
VBD48872,Hever,3191,1850.00,Appartment,Flat,Rent,3,178 ,,False,,False,True,2,,Excellent
RBU65223,Sint-Pieters-Leeuw,1600,420000.00,House,House,Sale,2,120 ,,False,,False,True,4,False,To be renovated
VBD48844,Vlezenbeek,1602,445000.00,House,House,Sale,3,247 ,1,False,,40 m²,1197 m²,2,False,Normal
RBU65077,Meise,1860,699000.00,House,House,Sale,4,185 ,,,,False,True,,,Normal
VBD48811,Landen,3400,320000.00,House,House,Sale,3,327 ,,False,,65 m²,276 m²,4,,To renovate
RBU65073,Geetbets,3450,389000.00,House,House,Sale,3,296 ,,,,False,True,4,,
VBD48795,Sint-Genesius-Rode,1640,525000.00,House,House,Sale,5,200 ,,,,30 m²,False,3,,
RBU65040,Werchter,3118,250000.00,Appartment,Flat,Sale,2,81 ,1,,,True,False,,,
RBU65039,Tremelo,3120,472000.00,House,House,Sale,4,163 ,1,,,True,920 m²,4,,
RBU65023,Bekkevoort,3460,1300.00,House,House,Rent,4,110 ,,False,,True,True,3,,New
RBU64976,Kumtich,3300,330000.00,House,House,Sale,3,168 ,,False,,False,True,2,,To be renovated
RBU64975,Herne,1540,475000.00,House,House,Sale,4,228 ,,False,,65 m²,True,3,,Normal
VBD48748,Halle,1500,295000.00,House,House,Sale,3,115 ,,False,,15 m²,90 m²,2,,
RBU64959,Herent,3020,427810.50,Appartment,Flat,Sale,2,91 ,,False,,17 m²,True,4,,New
RBU64958,Herent,3020,521700.00,Appartment,Flat,Sale,3,112 ,,False,,16 m²,True,4,,New
RBU64957,Herent,3020,660241.00,Appartment,Penthouse,Sale,3,120 ,,False,,21 m²,True,4,,New
RBU64956,Liedekerke,1770,950.00,Appartment,Flat,Rent,2,74 ,1,False,,False,False,2,False,New
RBU64954,Tervuren,3080,675000.00,House,House,Sale,4,231 ,,,True,26 m²,150 m²,3,,
RBU64953,Tervuren,3080,2100.00,House,Villa,Rent,4,,,False,True,20 m²,True,3,False,
RBU64948,Relegem,1731,2500.00,House,House,Rent,3,225 ,1,False,,20 m²,True,3,,New
VBD48653,Drogenbos,1620,1490.00,Appartment,Flat,Rent,3,89 ,,False,,5 m²,10 m²,3,,
RBU64945,Loonbeek,3040,695000.00,House,House,Sale,4,250 ,,False,,75 m²,2035 m²,4,,Normal
RBU64940,Tervuren,3080,1995.00,Appartment,Flat,Rent,2,92 ,,False,,10 m²,False,,,
RBU64937,Leuven,3000,1095.00,Appartment,Flat,Rent,2,61 ,,True,,3 m²,False,,,Normal
RBU64935,Wilsele,3012,620000.00,House,House,Sale,3,132 ,,False,,False,True,,,Normal
RBU64929,Hoeilaart,1560,539000.00,House,House,Sale,4,165 ,,,,True,1 m²,,,Fully renovated
VBD48561,Sint-Genesius-Rode,1640,795000.00,House,Villa,Sale,3,160 ,,False,,90 m²,880 m²,4,False,To renovate
VBD48547,Kraainem,1950,1600000.00,House,Villa,Sale,6,650 ,,False,,True,3300 m²,4,True,To renovate
RBU64920,Dilbeek,1700,349000.00,Appartment,Flat,Sale,3,111 ,1,,,True,False,,False,Normal
VBD48520,Kraainem,1950,1600000.00,House,House,Sale,6,650 ,1,False,,True,True,4,True,To renovate
VBD48497,Vilvoorde,1800,219000.00,Appartment,Flat,Sale,2,,,,False,False,False,,,To be renovated
RBU64874,Leuven,3000,1475.00,Appartment,Flat,Rent,2,116 ,1,False,,7 m²,False,,,Excellent
VBD48471,Sint-Genesius-Rode,1640,2500000.00,House,House,Sale,5,480 ,1,,,True,True,4,False,New
RBU64858,Relegem,1731,420000.00,House,House,Sale,3,155 ,1,False,,25 m²,False,2,False,Normal
VBD48454,Sint-Genesius-Rode,1640,1400.00,Appartment,Flat,Rent,2,115 ,1,False,,30 m²,True,4,,Excellent
VBD48445,Leuven,3000,775.00,House,MixedBuilding,Rent,1,,,True,,False,False,,,
RBU64851,Elewijt,1982,1295.00,Appartment,Duplex,Rent,3,,,,,14 m²,False,,,
RBU64836,Halle,1500,540000.00,Appartment,Duplex,Sale,3,127 ,,,,True,True,,,
VBD48415,Overijse,3090,740000.00,House,House,Sale,4,170 ,1,False,,True,True,4,False,Excellent
RBU64603,Wemmel,1780,798000.00,House,Villa,Sale,5,273 ,,,,True,True,4,,
RBU64474,Humbeek,1851,375000.00,House,House,Sale,4,157 ,,,,False,True,4,,
RBU64470,Kessel-Lo,3010,1195.00,Appartment,Flat,Rent,2,76 ,,,,False,False,2,,
VBD48319,Halle,1500,299000.00,House,House,Sale,4,132 ,1,False,,10 m²,610 m²,3,False,To renovate
RBU64429,Wezemaal,3111,350000.00,House,MixedBuilding,Sale,3,,1,,,True,True,3,,
RBU64427,Wezemaal,3111,350000.00,House,House,Sale,3,,1,,,True,True,3,,
RBU64426,Leuven,3000,745000.00,House,House,Sale,3,151 ,,,,40 m²,True,,,
RBU64425,Tienen,3300,220000.00,Appartment,Flat,Sale,2,88 ,,,,False,False,2,,Excellent
RBU64415,Machelen,1830,299000.00,Appartment,Flat,Sale,2,83 ,1,False,,10 m²,False,2,False,New
RBU64405,Erps-Kwerps,3071,530000.00,House,MixedBuilding,Sale,5,260 ,,False,,True,True,4,,To be renovated
RBU64397,Wemmel,1780,695000.00,House,House,Sale,3,175 ,,False,,True,True,4,,Excellent
VBD48219,Ruisbroek,1601,415000.00,House,House,Sale,5,157 ,,False,,23 m²,130 m²,,,
RBU64380,Kortenberg,3070,525000.00,House,House,Sale,4,224 ,,False,,17 m²,True,3,,Normal
RBU64373,Affligem,1790,295000.00,House,House,Sale,2,115 ,,,,True,False,2,,
RBU64372,Lennik,1750,310000.00,House,House,Sale,3,168 ,,,,True,True,2,,
VBD48114,Kraainem,1950,2250.00,House,House,Rent,3,175 ,1,False,,50 m²,60 m²,2,False,Excellent
RBU64363,Herfelingen,1540,275000.00,House,Cottage,Sale,3,165 ,,False,,40 m²,5500 m²,4,False,To be renovated
RBU64362,Sint-Katherina-Lombeek,1742,319000.00,House,House,Sale,4,270 ,1,False,,70 m²,,2,False,To renovate
RBU64349,Vilvoorde,1800,465000.00,House,House,Sale,3,127 ,,,,False,118 m²,,,Normal
RBU64346,Vilvoorde,1800,950.00,Appartment,Flat,Rent,2,96 ,,False,,False,False,,,Normal
RBU64343,Asse,1730,1150.00,Appartment,Duplex,Rent,2,149 ,,,,22 m²,False,,,Normal
RBU64342,Vilvoorde,1800,275000.00,House,House,Sale,3,150 ,,,,False,False,,,To renovate
RBU64330,Deurne,3290,295000.00,House,House,Sale,3,161 ,1,,,True,True,4,,To be renovated
