Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace Surface,Garden Surface,Number of facades,Swimming pool,State of building,Garden,Terrace
VBD46257,Templeuve,7520,468000,1,House,Sale,5,235,,0,0,,,4,0,,1,1
VBD46255,Cuesmes,7033,175000,1,House,Sale,3,151,,0,0,,,2,0,,1,0
VBD46254,Jemappes,7012,45000,1,House,Sale,2,79,,0,0,,,2,0,0,1,0
VBD46253,Mons,7000,85000,1,House,Sale,2,60,,0,0,,,2,0,0,0,0
VBD46252,Thulin,7350,129900,1,House,Sale,3,113,,0,0,,55.0,2,0,0,1,0
VBD46243,Leuze-en-Hainaut,7900,230000,1,House,Sale,3,172,,0,0,,,2,0,,1,1
VBD46226,Chtelet,6200,165000,1,House,Sale,2,134,,0,0,20.0,112.0,2,0,0,1,1
VBD46219,Esplechin,7502,70000,1,House,Sale,1,68,,0,0,,,4,0,0,1,1
VBD46216,Dottignies,7711,219000,1,House,Sale,4,130,,0,0,,300.0,3,0,0,1,0
VBD46182,Erpion,6441,129000,1,House,Sale,3,127,,0,0,,,3,0,0,0,0
VBD46169,Estaimpuis,7730,365000,1,Villa,Sale,4,170,1,0,0,30.0,1210.0,4,0,1,1,1
VBD46167,Jemappes,7012,189000,,Flat,Sale,2,81,1,0,0,35.0,,2,0,2,0,1
VBD46152,Athis,7387,330000,1,House,Sale,5,284,,0,0,,1550.0,4,0,1,1,1
VBD46145,Couillet,6010,177000,1,House,Sale,3,90,1,0,0,25.0,728.0,3,0,1,1,1
VWD15486,Ecaussinnes,7190,325,,FlatStudio,Rent,1,24,,0,0,,,2,0,2,0,0
VBD46128,Chausse-Notre-Dame-Louvignies,7063,1400,1,Mansion,Rent,2,130,,0,0,15.0,,,0,1,1,1
VBD46126,Sivry-Rance,6470,220000,1,House,Sale,3,142,1,0,0,,,4,0,,1,0
VBD46120,Charleroi,6000,149999,1,House,Sale,5,212,1,0,0,,,2,0,0,0,0
VBD46119,La Hestre,7170,179000,1,MixedBuilding,Sale,5,349,1,0,0,,,2,0,0,1,1
VBD46117,Bienne-lez-Happart,6543,329000,1,House,Sale,3,,,0,0,,,4,0,,1,0
VBD46111,Le Roeulx,7070,1150,1,House,Rent,3,137,,0,0,,180.0,2,0,1,1,1
VBD46105,Montigny-le-Tilleul,6110,125000,,Flat,Sale,2,64,,0,0,,,,0,0,0,0
VBD46104,Tournai,7500,980,1,House,Rent,3,144,1,0,0,20.0,160.0,2,0,2,1,1
VBD46091,Buzet,6230,1850,1,Villa,Rent,4,200,1,0,0,30.0,915.0,4,0,2,1,1
VBD46089,Boussu-lez-Walcourt,6440,140000,1,House,Sale,4,,,0,0,,,3,0,,1,0
VBD46085,Charleroi,6000,600,,Flat,Rent,1,60,,0,0,,,4,0,,0,0
VBD46082,Tournai,7500,536000,1,House,Sale,4,,,0,0,,,4,0,2,1,1
VBD46078,Wiers,7608,175000,1,House,Sale,3,150,,0,0,,,,0,0,1,0
VWD15481,Gaurain-Ramecroix,7530,285000,1,House,Sale,2,208,1,0,0,,540.0,3,0,2,1,0
VBD45967,La Louvire,7100,190000,1,House,Sale,3,112,,0,0,,,2,0,1,1,1
VBD45963,Tournai,7500,800,1,House,Rent,1,86,,0,0,,,3,0,,0,0
VBD45961,Marcinelle,6001,500,,FlatStudio,Rent,1,27,,0,0,,,2,0,1,0,0
VBD45959,Charleroi,6000,500,,FlatStudio,Rent,1,160,1,1,0,,,,0,2,0,0
VBD45949,Wanferce-Baulet,6224,399000,1,House,Sale,3,242,,0,0,,,,0,,1,0
VBD45948,Charleroi,6000,750,,Flat,Rent,2,60,,0,0,5.0,,2,0,,0,1
VBD45947,Farciennes,6240,129000,1,House,Sale,3,118,,0,0,11.0,356.0,2,0,,1,1
VBD45911,Erquelinnes,6560,170000,1,House,Sale,2,159,,0,0,48.0,595.0,2,0,1,1,1
